"","Species","Order","Family","Genus","Species.1","BDT.C","UDT.C","EADDC","EEDDC","OS","ET","LT","TL1","TL2","TL3","TL4","TL5","TP","TMA","TOA","DE","DLT","D1","D2","D3","D4","D5","DP","DMA","DOA","DBE","DBLT","DB1","DB2","DB3","DB4","DB5","DBP","DBMA","DBOA","Author","Year","Title","Journal","Vol","Pages","Location","Lab","BDT.c","lon","lat"
"858","Peleteria robusta","Diptera","Tachinidae","Peleteria","robusta",9.3,NA,457.7,NA,"","6.7",NA,NA,"","","","",9.7,NA,NA,"266.9",NA,"","","","","",235.5,NA,NA,"222.44",NA,NA,NA,NA,NA,"","251.16",NA,"","Foerster, L. A. and A. K. Doetzer",2002,"Host instar preference of Peleteria robusta (Wiedman) (Diptera: Tachinidae) and development in relation to temperature","Neotropical Entomology","31"," 405-409","Brazil, Southern Paran† State, Lapa County","",9.3,77.5945627,12.9715987
"859","Voria ruralis","Diptera","Tachinidae","Voria","ruralis",9.2,NA,208.6,NA,"","13.52",9.21,NA,"","","","",10.13,NA,NA,"78.44",208.33,"","","","","",222.22,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Jackson, C. G., G. D. Butler, Jr., and D. E. Bryan",1969,"Time required for development of Voria ruralis and its host, the cabbage looper, at different temperatures","Journal of Economic Entomology","62","69-70","USA","",9.2,NA,NA
"864","Anastrepha fraterculus","Diptera","Tephritidae","Anastrepha","fraterculus",10.72,NA,430.58,NA,"","9.25",10.27,NA,"","","","",10.78,NA,NA,"52.25",161.45,"","","","","",227.79,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Machado, A. E., L. A. B. Salles, et al.",1995,"Thermal requirements of Anastrepha fraterculus (Wied.) and estimation of number of generations in Pelotas, RS.","Anais da Sociedade Entomol¢gica do Brasil","24","573-578","Brazil, SC, Chapeco","",10.72,-52.615699,-27.1009343
"865","Anastrepha ludens","Diptera","Tephritidae","Anastrepha","ludens",9.4,NA,607.2,NA,"","9.7",NA,12,"14.1","9.3","","",7.8,NA,NA,"75.7",NA,"77.7","30.2","100.3","","",315.8,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Leyva-Vazquez J.Z.",1989,"Temperature umbral y unidades calor requeridas por los estados inmaduros de Anastrepha ludens (Loew) (Diptera: Tepbrididae).","Filia Entomol.Mex.","74","189-196","Mexico","",9.4,-102.552784,23.634501
"867","Anastrepha serpentina","Diptera","Tephritidae","Anastrepha","serpentina",9.5,30,609.3,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"72.8",262.8,NA,NA,NA,NA,"","273.7",NA,"","Shaw, J. G., and D. F. Starr",1946,"Development of the immature stages of Anastrepha serpentina in relation to temperature","Journal of Agricultural Research","72","265-276","Mexico, Mexico City ","lab studies)",9.5,-93.213266,15.976462
"868","Anastrepha suspensa","Diptera","Tephritidae","Anastrepha","suspensa",10.5,NA,249.2,NA,"","10.5",11.3,NA,"","","","",9.6,NA,NA,"43.6",83.3,"","","","","",121.1,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Prescott J.A., Baranowski R.M.",1971,"Effects of temperature on the immature stages of Anastrepha suspensa (Dept., Tephritidae).","Florida Entomologist","54","297-303","USA Florida","",10.5,NA,NA
"870","Bactrocera cucurbitae","Diptera","Tephritidae","Bactrocera","cucurbitae",10,NA,252,NA,"","11.4",8.8,NA,"","","","",10.6,NA,NA,"16",102.2,"","","","","",135.6,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Vargas, R. I., W. A. Walsh, et al. ",1996,"Survival and development of immature stages of four Hawaiian fruit flies (Diptera: Tephritidae) reared at five constant temperatures. ","Annals of the Entomological Society of America","89","64-69 ","Hawaii, USA","",10,-155.5827818,19.8967662
"872","Bactrocera dorsalis","Diptera","Tephritidae","Bactrocera","dorsalis",9.9,NA,304,NA,"","12.7",7.75,NA,"","","","",10.6,NA,NA,"18.5",135,"","","","","",155,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Vargas, R. I., W. A. Walsh, et al. ",1996,"Survival and development of immature stages of four Hawaiian fruit flies (Diptera: Tephritidae) reared at five constant temperatures. ","Annals of the Entomological Society of America","89","64-69 ","Hawaii, USA","",9.9,-155.5827818,19.8967662
"873","Bactrocera dorsalis","Diptera","Tephritidae","Bactrocera","dorsalis",6.8,NA,365,NA,"","12.3",2.4,NA,"","","","",7.1,NA,NA,"20.9",145.2,"","","","","",213.6,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Yang P., Carey J.R., Dowell R.V.",1994,"Temperature influences on the development and demography of Bactrocera dorsalis (Diptera: Tephritidae) in China.","Environmental Entomology","23","971 - 974","China Kuen-dion 23¯N","",6.8,-155.6658568,19.5429151
"874","Bactrocera latifrons","Diptera","Tephritidae","Bactrocera","latifrons",10.4,NA,344,NA,"","12.4",9.1,NA,"","","","",10.5,NA,NA,"34",140.6,"","","","","",172.6,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Vargas, R. I., W. A. Walsh, et al. ",1996,"Survival and development of immature stages of four Hawaiian fruit flies (Diptera: Tephritidae) reared at five constant temperatures. ","Annals of the Entomological Society of America","89","64-69 ","Hawaii, USA","",10.4,-155.5827818,19.8967662
"884","Bactrocera zonata","Diptera","Tephritidae","Bactrocera","zonata",10.8,NA,301.1,NA,"","10",10,NA,"","","","",11.75,NA,NA,"60.67",130.93,"","","","","",123.5,NA,NA,"49.39",111.01,NA,NA,NA,NA,"","140.7",NA,"","Mohamed, A. M.",2000,"Effect of constant temperatures on the development of the peach fruitfly, Bactrocera zonata (Saunders) (Diptera: Tephritidae).","Assiut Journal of Agricultural Sciences","31","329-339","Egypt","",10.8,NA,NA
"885","Ceratitis capitata","Diptera","Tephritidae","Ceratitis","capitata",11.6,NA,284.4,NA,"","10.7",11.2,NA,"","","","",11.7,NA,NA,"33.3",136.8,"","","","","",152.8,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Conti B.",1988,"Effects of abiotic factors on Ceratitis capitata (Wied.) (Diptera Tephritidae). I.-Larval and total development under constant temperatures.","Frustula Entomologica NS","11","157-169","USA lab","",11.6,NA,NA
"886","Ceratitis capitata","Diptera","Tephritidae","Ceratitis","capitata",10.45,NA,251.7,NA,"","11.6",10.2,NA,"","","","",11.2,NA,NA,"28",89,"","","","","",143,NA,NA,"29.3",81.05,NA,NA,NA,NA,"","141.35",NA,"","Duyck, P. F. and S. Quilici",2002,"Survival and development of different life stages of three Ceratitis spp. (Diptera: Tephritidae) reared at five constant temperatures","Bulletin of Entomological Research","92"," 461-469","Reunion Island, near Madagascar","",10.45,55.4702094,-20.895654
"887","Ceratitis capitata","Diptera","Tephritidae","Ceratitis","capitata",11,NA,31.1,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Messenger, P. S., and N. E. Flitters",1958,"Effect of constant temperature environments on the egg stage of three species of Hawaiian fruit flies","Annals of the Entomological Society of America","51","109-119","USA Hawaii","",11,NA,NA
"888","Ceratitis capitata","Diptera","Tephritidae","Ceratitis","capitata",12.6,35.09,269.34,311.06,"","12.71",12.29,NA,"","","","",10.96,4.54,NA,"31.44",102.54,"","","","","",154.93,68.98,NA,"32",101,NA,NA,NA,NA,"","136.34",41.72,"","Muniz, M. and F. G. Zalom",1997," Developmental rate and number of generation estimates for Ceratitis capitata (Wiedemann) in fruit growing regions of California","Bulletin OILB/SROP","20","55-66","USA, California","",12.6,-119.4179324,36.778261
"891","Ceratitis capitata","Diptera","Tephritidae","Ceratitis","capitata",16.2,NA,226.8,NA,"","10.2",20.8,NA,"","","","",NA,NA,NA,"39.1",45.4,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Rîssler, Y.",1979,"Automated sexing of Ceratitis capitata (Diptera: Tephritidae): the development of strain with inherited sex-limited pupal color dimorphism.","Entomophaga","24","411-416","Israel","",16.2,NA,NA
"894","Ceratitis capitata","Diptera","Tephritidae","Ceratitis","capitata",10.6,NA,326.6,NA,"","11",5,NA,"","","","",13,NA,NA,"41.8",187.6,"","","","","",132.3,NA,NA,"31.5",138.2,NA,NA,NA,NA,"","156.9",NA,"","Shoukry, A. and M. Hafez",1979,"Studies on the biology of the Mediterranean fruit fly Ceratitis capitata.","Entomologia Experimentalis et Applicata","26","33-39","Egypt, Cairo","",10.6,NA,NA
"896","Ceratitis capitata","Diptera","Tephritidae","Ceratitis","capitata",9.5,NA,285,NA,"","10.8",7.2,NA,"","","","",10.3,NA,NA,"30.4",118.6,"","","","","",140.45,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Vargas, R. I., W. A. Walsh, et al. ",1996,"Survival and development of immature stages of four Hawaiian fruit flies (Diptera: Tephritidae) reared at five constant temperatures. ","Annals of the Entomological Society of America","89","64-69 ","Hawaii, USA","",9.5,-155.5827818,19.8967662
"897","Ceratitis catoirii","Diptera","Tephritidae","Ceratitis","catoirii",9.51,NA,340.67,NA,"","9.9",8.9,NA,"","","","",9.2,NA,NA,"35",127,"","","","","",194,NA,NA,"37.22",116.89,NA,NA,NA,NA,"","186.57",NA,"","Duyck, P. F. and S. Quilici",2002,"Survival and development of different life stages of three Ceratitis spp. (Diptera: Tephritidae) reared at five constant temperatures","Bulletin of Entomological Research","92"," 461-469","Reunion Island, near Madagascar","",9.51,55.4702094,-20.895654
"898","Ceratitis rosa","Diptera","Tephritidae","Ceratitis","rosa",7.92,NA,410.65,NA,"","9.8",3.1,NA,"","","","",11,NA,NA,"35",223,"","","","","",147,NA,NA,"42.94",166.31,NA,NA,NA,NA,"","201.4",NA,"","Duyck, P. F. and S. Quilici",2002,"Survival and development of different life stages of three Ceratitis spp. (Diptera: Tephritidae) reared at five constant temperatures","Bulletin of Entomological Research","92"," 461-469","Reunion Island, near Madagascar","",7.92,55.4702094,-20.895654
"899","Dacus cucurbitae","Diptera","Tephritidae","Dacus","cucurbitae",10.2,NA,16.9,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Messenger, P. S., and N. E. Flitters",1958,"Effect of constant temperature environments on the egg stage of three species of Hawaiian fruit flies","Annals of the Entomological Society of America","51","109-119","USA Hawaii","",10.2,NA,NA
"901","Dacus dorsalis","Diptera","Tephritidae","Dacus","dorsalis",11.5,NA,21.2,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Messenger, P. S., and N. E. Flitters",1958,"Effect of constant temperature environments on the egg stage of three species of Hawaiian fruit flies","Annals of the Entomological Society of America","51","109-119","USA Hawaii","",11.5,NA,NA
"903","Dacus oleae","Diptera","Tephritidae","Dacus","oleae",12.2,NA,261.4,NA,"","",12.1,NA,"","","","",9.7,NA,NA,"",87.7,"","","","","",186.4,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Crovetti A., Quaglia F., Loi G., Rossi E., Malfatti P., Chesi F., Conti B., Belcari A., Raspi A., Paparatti B.",1982,"Influenza di temperatura e umidit† sullo sviluppo degli stadi preimaginali di Dacus oleae (Gmelin).","Frustula Entomologica NS","5","133-166","Italy Toscan","",12.2,NA,NA
"906","Rhagoletis cerasi","Diptera","Tephritidae","Rhagoletis","cerasi",5,NA,430,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Boller, E. F. and U. Remund",1983,"Ten years of using data on the sums of daily temperatures for forecasting the flight of Rhagoletis cerasi and Eupoecilia ambiguella in northern Switzerland.","Bulletin OEPP","13","209-212","Switzerland, Geneve","",5,NA,NA
"930","Orius albidipennis","Hemiptera","Anthocoridae","Orius","albidipennis",13.26,NA,228.4,NA,"","13.4",13.09,11.4,"12.8","13.1","14.3","12.9",NA,NA,NA,"46.9",179.73,"42.6","33.3","29.2","26.1","51.4",NA,NA,NA,"48.6",179.8,36.5,32.5,29.5,31.2,"50.2","-",NA,"","Gitonga, L. M., B. Lohr, et al.",2002,"Effect of temperature on the development of Orius albidipennis Reuter, a predator of the African legume flower thrips, Megalurothrips sjostedti Trybom","Insect Science and its Application","22"," 215-220","Kenya, 35km of Nairobi, Juja 01¯01'S  37¯06'E","",13.26,NA,NA
"931","Orius auteri","Hemiptera","Anthocoridae","Orius","auteri",10.51,NA,242.84,NA,"","11.03",10.31,NA,"","","","",NA,NA,NA,"61.93",180.84,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Nagai, K. and Yano, E.",1999,"Effects of temperature on the development and reproduction of Orius sauteri ( Poppius) (Heteroptera: Anthocoridae), a predator of Thrips palmi Karny (Thysanoptera: Thripidae).","Appl. Entomol. Zool.","34","223-229","Japan, Okayama 34,4¯N","",10.51,NA,NA
"932","Orius insidiosus","Hemiptera","Anthocoridae","Orius","insidiosus",15.4,NA,161.3,NA,"","13.4",16.1,NA,"","","","",NA,NA,NA,"56",107.2,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Isenhour, D.J. and Yeargan, K.V.",1981,"Effect of temperature on the development of Orius insidiosus, with notes on laboratory rearing.","Annals of the Entomological Society of America","74","114-116","USA Kentucky","",15.4,NA,NA
"936","Orius majusculus","Hemiptera","Anthocoridae","Orius","majusculus",5.8,NA,397.4,NA,"","4.9",6.5,NA,"","","","",NA,NA,NA,"91.2",297.8,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Alauzet C., Dardagnon D., Hatte M.",1992,"Production d?un HetÇroptere prÇdateur: Orius majusculus (Het., Anthocoridae).","Entomophaga","37","249-252","France, Tolouse","",5.8,NA,NA
"937","Orius majusculus","Hemiptera","Anthocoridae","Orius","majusculus",8.5,NA,341.5,NA,"","4.9",8.1,NA,"","","","",NA,NA,NA,"91.2",276.9,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Alauzet C., Dardagnon D., Hatte M.",1992,"Production d?un HetÇroptere prÇdateur: Orius majusculus (Het., Anthocoridae).","Entomophaga","37","249-252","France, Tolouse","",8.5,NA,NA
"938","Orius majusculus","Hemiptera","Anthocoridae","Orius","majusculus",9.4,NA,261.2,NA,"","4.9",9,NA,"","","","",NA,NA,NA,"91.2",198,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Alauzet C., Dardagnon D., Hatte M.",1992,"Production d?un HetÇroptere prÇdateur: Orius majusculus (Het., Anthocoridae).","Entomophaga","37","249-252","France, Tolouse","",9.4,NA,NA
"939","Orius minutus","Hemiptera","Anthocoridae","Orius","minutus",10.35,NA,281.09,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Kakimoto, K., Hinomoto, N. and Noda, T.",2003,"Responses of three Orius species collected in Kagoshima to different rearing temperatures and photoperiods.","Japanese Journal of Applied Entomology and Zoology ","47","19-28","Japan, Kagoshina 31¯N","",10.35,NA,NA
"940","Orius santeri","Hemiptera","Anthocoridae","Orius","santeri",11.03,NA,258.94,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Kakimoto, K., Hinomoto, N. and Noda, T.",2003,"Responses of three Orius species collected in Kagoshima to different rearing temperatures and photoperiods.","Japanese Journal of Applied Entomology and Zoology ","47","19-28","Japan, Kagoshina 31¯N","",11.03,NA,NA
"943","Orius sauteri","Hemiptera","Anthocoridae","Orius","sauteri",11.6,NA,210.5,NA,"","11",11.8,NA,"","","","",NA,NA,NA,"59.1",152.9,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Nakata T.",1995,"Effect of rearing temperature on the development of Orius sauteri (Poppius) (Heteroptera: Anthocoridae).","Appl. Entomol. Zool.","30","145 - 151","Japan Sapporo 43¯N","",11.6,NA,NA
"944","Orius strigicollis","Hemiptera","Anthocoridae","Orius","strigicollis",9.98,NA,281.6,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Kakimoto, K., Hinomoto, N. and Noda, T.",2003,"Responses of three Orius species collected in Kagoshima to different rearing temperatures and photoperiods.","Japanese Journal of Applied Entomology and Zoology ","47","19-28","Japan, Kagoshina 31¯N","",9.98,NA,NA
